video_id,comment_thread_id,comment_id,comment_text,author,published_date,like_count,reply_count,parent_id,timestamp,mentions,title
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WIduH-ktN,@@TheUnknown-mg8fv?,diaosibuku,2024-03-28T03:57:09Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OaF8V2eMZ,2024-03-28 03:57:09+00:00,TheUnknown-mg8fv,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WIiB_M_UM,@@TheUnknown-mg8fvyou have any problem with China?,diaosibuku,2024-03-28T03:57:44Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-28 03:57:44+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WLF5BVQBa,"@@kskid4life it isnt strange. Statements need to be released for the press. If this hapened the other way around and in just hours, Putin says they dont have any involvement, you wouldnnt even be saying the same as thing that youve saud rn.",darkeve5917,2024-03-28T04:19:50Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1UoRt1MKE1,2024-03-28 04:19:50+00:00,kskid4life,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WM-BcuEEl,"​@@kskid4life
Don't be silly.  We have been attacked far worse than you.  Do you think that we work with Isis?
Russia is paranoid. 
America doesn't work with terrorists. 
They hit Russia because Russia was distracted.  That's how terrorists work. 
Did you think Russia was exempt?",bigalsnow8199,2024-03-28T04:26:24Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1UoRt1MKE1,2024-03-28 04:26:24+00:00,kskid4life,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WOEhGfVKm,​@@user-oh7tn1bu3ryou live a life of denial,Radio9730killer,2024-03-28T04:46:00Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-28 04:46:00+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WOWylL_hE,​@@eddale5557grow up from this stoopid statements bot bot bot blablabla everytime,Radio9730killer,2024-03-28T04:48:30Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-28 04:48:30+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WRK52wvqI,@@Truthspeakers1589 they were literally captured like 140 kilometers away. that's 87 miles in dumfuk units,creative0ne,2024-03-28T05:12:57Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OcQ_pR5vc,2024-03-28 05:12:57+00:00,Truthspeakers1589,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WgaNOXr2k,No The didn't get your information right ​@@d.b.1176,vetrov23,2024-03-28T07:35:07Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1SG8oqTB5_,2024-03-28 07:35:07+00:00,d.b.1176,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1WiW6mSjpe,​@@d.b.1176There are things worse than death,abinprakash2793,2024-03-28T07:51:53Z,0,2,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-28 07:51:53+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1Wjzxk4fgn,"@@kskid4lifeThe US already warned russia for the attack, wacky headless conspiracy idiort",hansklok3564,2024-03-28T08:04:50Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-28 08:04:50+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
